x	y	cell
2506576.0300	736487.4470	3146.0000
2506757.0800	736290.6030	3187.0000
2506761.6300	736269.8520	3189.0000
2506770.7500	736263.0460	3190.0000
2506776.6400	736250.7620	3191.0000
2506782.2100	736238.8370	3192.0000
2506788.5000	736227.1280	3193.0000
2506815.5300	736180.0140	3197.0000
2506824.4400	736170.2020	3198.0000
2506833.1100	736158.2600	3199.0000
2506842.3300	736146.2930	3200.0000
2506851.9900	736134.3310	3201.0000
2506862.0500	736122.3790	3202.0000
2506872.4900	736110.4390	3203.0000
2506883.3000	736098.5130	3204.0000
2506894.4600	736086.6020	3205.0000
2506905.9500	736074.7080	3206.0000
2506917.7600	736062.8050	3207.0000
2506929.8600	736050.9570	3208.0000
2506942.2600	736039.1220	3209.0000
2506220.8100	736613.5000	3265.0000
2506269.9500	736610.8580	3272.0000
2506326.3300	736610.4240	3283.0000
2506332.0800	736612.7520	3284.0000
2506371.0600	736610.5620	3291.0000
2506375.7400	736606.3460	3292.0000
2506381.0100	736602.2200	3293.0000
2506387.2200	736604.1810	3294.0000
2506399.1400	736601.5350	3296.0000
2506438.9500	736585.6610	3303.0000
2506442.7800	736579.8510	3304.0000
2506449.7200	736580.1510	3305.0000
2506456.8900	736579.9130	3306.0000
2506463.8900	736579.2980	3307.0000
2506470.9900	736578.6520	3308.0000
2506528.6800	736537.1100	3320.0000
2506536.3700	736537.9080	3321.0000
2506540.8900	736531.6210	3322.0000
2506545.8300	736525.3400	3323.0000
2506550.4400	736518.9980	3324.0000
2506556.9300	736512.7540	3325.0000
2506563.0000	736506.4670	3326.0000
2506565.7100	736500.0120	3327.0000
2506567.0500	736493.5510	3328.0000
2506568.5700	736487.1730	3329.0000
2506747.8300	736281.2830	3371.0000
2506764.9500	736251.8340	3374.0000
2506768.9400	736240.6980	3375.0000
2506774.4900	736229.0420	3376.0000
2506780.7300	736217.1240	3377.0000
2506787.1200	736203.6360	3378.0000
2506811.0200	736166.7480	3381.0000
2506819.5300	736154.9440	3382.0000
2506837.6100	736130.9520	3384.0000
2506847.2600	736118.9610	3385.0000
2506857.2900	736106.9780	3386.0000
2506867.6900	736095.0070	3387.0000
2506878.4500	736083.0480	3388.0000
2506900.9800	736059.1640	3390.0000
2506912.6300	736047.0630	3391.0000
2506924.5600	736035.2680	3392.0000
2506937.0800	736023.4700	3393.0000
2506949.6800	736011.5960	3394.0000
2507100.5700	735839.0300	3408.0000
2506266.2600	736604.2190	3460.0000
2506341.3900	736598.9760	3475.0000
2506347.2900	736601.3390	3476.0000
2506359.1400	736606.0160	3478.0000
2506363.6700	736601.8450	3479.0000
2506369.6900	736604.1360	3480.0000
2506374.8700	736600.0810	3481.0000
2506420.8500	736588.7220	3489.0000
2506425.3200	736583.5790	3490.0000
2506432.1000	736584.7800	3491.0000
2506435.8500	736579.2100	3492.0000
2506440.1300	736573.5090	3493.0000
2506447.0800	736573.7980	3494.0000
2506453.3900	736574.5690	3495.0000
2506459.7900	736573.3710	3496.0000
2506466.8500	736572.8080	3497.0000
2506521.1000	736536.2330	3508.0000
2506525.5500	736530.0870	3509.0000
2506533.1800	736530.8760	3510.0000
2506538.1300	736524.6750	3511.0000
2506542.7500	736518.4100	3512.0000
2506549.2400	736512.2470	3513.0000
2506555.3300	736506.0320	3514.0000
2506558.1000	736499.6320	3515.0000
2506559.5400	736493.2190	3516.0000
2506574.1600	736456.5150	3522.0000
